Task;ExecutionTime (seconds);Items Processed;TimePerItem (seconds);Comment
Create Collections;0.5736808776855469;;;
Graph Analysis;1.998586893081665;;;
Class Tree Generation;6.326396942138672;122;0.05185571264048092;
Void stats generation;0.12389659881591797;122;0.001015545891933754;
HTML Generation;219.19453597068787;5176;0.04234824883514062;
Finalize Classtree;0.007815361022949219;;;
NonNS Pages;1.3972249031066895;1358;0.0010288843174570614;
Index Page Creation;1.2263565063476562;;;
CKAN API Generation;0.01923847198486328;;;
Solid API Generation;3.1055748462677;;;
OGC API Features Generation;0.025909900665283203;;;
Total;233.9992172718048;;;
